variable_names,pworker,pworker,ptotals
variable_categories,1,2,1
geo,,,
3768,1515.037735,1880.728664,3395.766399
3769,678.5220698,842.2997503,1520.82182
3770,1580.831102,1962.402848,3543.23395
3771,611.833555,759.5143527,1371.347908
3772,786.8001882,976.7134063,1763.513595
3773,779.2262029,967.3112567,1746.53746
3774,772.8317802,959.3733859,1732.205166
3775,981.6094134,1218.54454,2200.153954
3776,764.4562633,948.9762358,1713.432499
3777,832.6274031,1033.602126,1866.229529
3778,620.3374596,770.0708799,1390.408339
3779,792.2058467,983.4238509,1775.629698
3780,1001.761439,1243.560744,2245.322182
3781,1233.513736,1531.252053,2764.765789
3782,1001.222869,1242.892178,2244.115047
3783,1631.854529,2025.742012,3657.596541
3784,1195.34271,1483.867527,2679.210237
3785,654.8006518,812.8525954,1467.653247
3786,924.4795441,1147.624998,2072.104542
3787,579.1606585,718.9550639,1298.115722
3788,674.1261271,836.8427407,1510.968868
3789,1271.231202,1578.073539,2849.304741
3790,908.5750671,1127.881592,2036.456659
3791,1283.642016,1593.480002,2877.122018
3792,1147.579543,1424.575567,2572.15511
3793,658.8078381,817.8270129,1476.634851
3794,990.9286692,1230.113224,2221.041893
3795,441.7554636,548.3838084,990.139272
3796,1066.568662,1324.010755,2390.579418
3797,1072.813302,1331.762689,2404.575991
3798,1190.185106,1477.465012,2667.650118
3799,817.2070494,1014.459697,1831.666747
3800,1189.651492,1476.802596,2666.454088
3801,1789.55111,2221.502468,4011.053578
3802,1497.582352,1859.060003,3356.642355
3803,920.000239,1142.064505,2062.064744
3804,1911.588232,2372.996196,4284.584428
3805,1165.49632,1446.81699,2612.31331
3806,595.8595353,739.6846177,1335.544153
3807,2209.168573,2742.404735,4951.573308
3808,1066.023906,1323.334509,2389.358415
3809,554.0965187,687.8410889,1241.937608
3810,761.3232459,945.0869889,1706.410235
3811,1560.189213,1936.778541,3496.967754
3812,1640.806008,2036.854145,3677.660153
3813,1898.608588,2356.883602,4255.49219
3814,2027.925624,2517.414425,4545.340049
3815,1848.032735,2294.100045,4142.13278
3816,1145.789247,1422.35314,2568.142387
3817,1639.91086,2035.742932,3675.653792
3818,2050.189296,2545.051972,4595.241268
3819,1604.55252,1991.850003,3596.402523
3820,1546.815484,1920.176739,3466.992223
3821,1403.144254,1741.82699,3144.971244
3822,1845.794865,2291.322012,4137.116877
3823,1634.539973,2029.075652,3663.615625
3824,877.5402893,1089.355821,1966.89611
3825,1562.272387,1939.364539,3501.636926
3826,1467.985326,1822.31902,3290.304346
3827,1239.630432,1538.84516,2778.475593
3828,1437.326153,1784.259516,3221.585669
3829,999.3326362,1240.545691,2239.878327
3830,2361.400027,2931.380925,5292.780952
3831,2177.894717,2703.58218,4881.476897
3832,1225.249222,1520.992698,2746.241919
3833,1655.572972,2055.185473,3710.758446
3834,1691.381861,2099.637702,3791.019563
3835,966.4467352,1199.721984,2166.168719
3836,914.3935281,1135.104479,2049.498007
3837,1350.330531,1676.2654,3026.595931
3838,992.250412,1231.754001,2224.004413
3839,1053.141445,1307.342554,2360.483999
3840,643.2602087,798.5265878,1441.786797
3841,799.1588452,992.0551235,1791.213969
3842,1416.019584,1757.810092,3173.829675
3843,1465.322258,1819.013157,3284.335415
3844,1623.5899,2015.482514,3639.072414
3845,1929.938763,2395.776071,4325.714834
3846,1491.906098,1852.013649,3343.919747
3847,2119.1444,2630.651055,4749.795454
3848,1500.967182,1863.261844,3364.229026
3849,2071.874016,2571.970823,4643.84484
3850,1436.316437,1783.006081,3219.322519
3851,1902.18918,2361.328456,4263.517635
3852,1470.453755,1825.383265,3295.83702
3853,1059.084728,1314.720392,2373.805119
3854,531.268895,659.5034671,1190.772362
3855,1835.250578,2278.232606,4113.483184
3856,1776.95223,2205.862544,3982.814774
3857,1583.068972,1965.180882,3548.249853
3858,1590.177997,1974.005842,3564.18384
3859,2148.094497,2666.588957,4814.683454
3860,3575.668084,4438.74189,8014.409974
3861,898.7284407,1115.658244,2014.386685
3862,1820.120911,2259.451029,4079.571941
3863,1511.00957,1875.728204,3386.737773
3864,1677.600686,2082.530107,3760.130793
3865,933.4863017,1158.805754,2092.292056
3866,2061.029332,2558.508513,4619.537845
3867,979.7393211,1216.223056,2195.962377
3868,2070.45959,2570.214991,4640.674581
3869,1533.83584,1904.064145,3437.899985
3870,1962.240316,2435.874384,4398.1147
3871,2788.833125,3461.985319,6250.818444
3872,2784.365889,3456.439808,6240.805697
3873,2031.551864,2521.915946,4553.46781
3874,2155.068447,2675.246238,4830.314686
3875,1651.707375,2050.386821,3702.094196
3876,1864.59297,2314.657493,4179.250463
3877,2611.683901,3242.076854,5853.760755
3878,1756.505207,2180.480139,3936.985345
3879,1372.725942,1704.066484,3076.792426
3880,2962.710246,3677.83188,6640.542126
3881,871.4264313,1081.766236,1953.192667
3882,866.5031182,1075.654562,1942.157681
3883,771.9181669,958.23925,1730.157417
3884,2041.38467,2534.122138,4575.506808
3885,1476.539246,1832.937635,3309.476881
3886,1904.874623,2364.662096,4269.536719
3887,1199.050544,1488.470337,2687.520881
3888,1303.366474,1617.965435,2921.331909
3889,1330.907873,1652.154615,2983.062488
3890,1600.936985,1987.361772,3588.298757
3891,2122.298369,2634.56631,4756.864679
3892,519.1736216,644.4887076,1163.662329
3893,2404.766106,2985.214455,5389.980561
3894,2395.618485,2973.858835,5369.47732
3895,1181.78596,1467.038528,2648.824488
3896,1737.880958,2157.360479,3895.241437
3897,1299.286803,1612.901036,2912.187838
3898,1697.647896,2107.416196,3805.064092
3899,2390.492332,2967.49536,5357.987692
3900,1988.650744,2468.659605,4457.310349
3901,1874.88717,2327.436447,4202.323618
3902,1773.447483,2201.511842,3974.959325
3903,2640.238582,3277.523896,5917.762478
3904,2510.52194,3116.497012,5627.018952
3905,1269.871095,1576.385137,2846.256231
3906,2099.569281,2606.351008,4705.920289
3907,1622.903051,2014.629878,3637.532928
3908,1938.473873,2406.371336,4344.845209
3909,1949.298582,2419.808849,4369.10743
3910,1337.253705,1660.032166,2997.285871
3911,1342.211263,1666.186351,3008.397614
3912,1600.076781,1986.293936,3586.370717
3913,1229.579187,1526.367805,2755.946993
3914,1530.629714,1900.084143,3430.713857
3915,2044.469097,2537.951065,4582.420162
3916,1558.004832,1934.066907,3492.071739
3917,2084.52518,2587.675651,4672.200831
