hid,pid,sample_geo,ptotals,prtotals,pworker,rpworker,rpage,rpsex
5367,3,2104,1,1,2,2,3,2
5367,4,2104,1,1,2,2,3,2
5367,5,2104,1,1,2,2,2,2
5367,6,2104,1,1,2,2,2,2
5374,1,2002,1,1,2,2,10,2
5374,2,2002,1,1,1,1,10,1
5374,3,2002,1,1,2,2,3,2
5374,4,2002,1,1,2,2,3,1
5577,1,1600,1,1,1,1,10,1
5577,2,1600,1,1,1,1,9,2
5577,3,1600,1,1,2,2,4,1
5577,4,1600,1,1,2,2,3,1
5583,1,2103,1,1,1,1,12,2
5583,2,2103,1,1,1,1,13,1
5583,3,2103,1,1,1,1,6,1
5623,1,901,1,1,1,1,13,1
5623,2,901,1,1,1,1,13,2
5626,1,1600,1,1,2,2,15,2
5639,1,1103,1,1,2,2,7,1
5659,1,1205,1,1,2,2,15,1
5714,1,2201,1,1,2,2,17,1
5714,2,2201,1,1,2,2,17,2
5747,1,1302,1,1,2,2,12,1
5762,1,308,1,1,2,2,18,2
5765,1,907,1,1,2,2,7,2
5765,2,907,1,1,1,1,9,1
5765,3,907,1,1,2,2,2,1
5765,4,907,1,1,2,2,1,1
5765,5,907,1,1,2,2,1,2
5765,6,907,1,1,2,2,1,2
5771,1,2104,1,1,2,2,18,2
5776,1,2003,1,1,2,2,8,1
5825,1,703,1,1,1,1,16,1
5825,2,703,1,1,2,2,15,2
5982,1,904,1,1,1,1,10,2
5982,2,904,1,1,1,1,11,1
5982,3,904,1,1,2,2,4,2
6003,1,1202,1,1,1,1,8,1
6003,2,1202,1,1,2,2,10,2
6003,3,1202,1,1,2,2,2,2
6022,1,305,1,1,2,2,13,1
6022,2,305,1,1,2,2,13,2
6040,1,2201,1,1,2,2,17,2
6058,1,1402,1,1,2,2,9,2
6058,2,1402,1,1,2,2,4,2
6058,3,1402,1,1,2,2,3,1
6072,1,1600,1,1,1,1,13,1
6072,2,1600,1,1,1,1,8,1
6143,1,701,1,1,1,1,10,1
6143,2,701,1,1,2,2,8,2
6143,3,701,1,1,2,2,4,1
6143,4,701,1,1,2,2,4,2
6143,5,701,1,1,2,2,2,2
6145,1,906,1,1,1,1,6,1
6145,2,906,1,1,2,2,5,2
6145,3,906,1,1,2,2,1,1
6145,4,906,1,1,2,2,1,2
6213,1,1001,1,1,1,1,12,1
6213,2,1001,1,1,1,1,12,2
6213,3,1001,1,1,1,1,5,2
6216,1,1105,1,1,2,2,16,1
6216,2,1105,1,1,2,2,16,2
6244,1,400,1,1,2,2,15,2
6299,1,1800,1,1,1,1,5,2
6299,2,1800,1,1,2,2,1,1
6299,3,1800,1,1,2,2,5,1
6327,1,2400,1,1,2,2,9,1
6378,1,1201,1,1,2,2,11,2
6413,1,1904,1,1,2,2,12,1
6413,2,1904,1,1,1,1,11,2
6418,1,2001,1,1,2,2,13,2
6422,1,800,1,1,2,2,7,2
6462,1,2201,1,1,1,1,11,1
6462,2,2201,1,1,1,1,7,1
6496,1,502,1,1,1,1,8,2
6496,2,502,1,1,2,2,2,1
6499,1,2104,1,1,1,1,8,2
6499,2,2104,1,1,1,1,8,1
6499,3,2104,1,1,2,2,1,2
6507,1,503,1,1,1,1,9,1
6507,2,503,1,1,1,1,9,2
6507,3,503,1,1,2,2,2,2
6507,4,503,1,1,2,2,2,1
6508,1,2003,1,1,1,1,16,2
6588,1,2002,1,1,2,2,18,2
6633,1,1201,1,1,2,2,10,1
6633,2,1201,1,1,1,1,9,2
6633,3,1201,1,1,2,2,2,1
6633,4,1201,1,1,2,2,15,2
6658,1,906,1,1,1,1,15,1
6658,2,906,1,1,1,1,15,2
6684,1,2201,1,1,2,2,17,2
6730,1,1301,1,1,1,1,10,1
6730,2,1301,1,1,2,2,2,2
6730,3,1301,1,1,2,2,5,1
6730,4,1301,1,1,1,1,5,2
6730,5,1301,1,1,2,2,1,1
6730,6,1301,1,1,2,2,8,2
6836,1,303,1,1,1,1,11,2
6853,1,1903,1,1,2,2,9,1
6907,1,601,1,1,1,1,12,1
6907,2,601,1,1,1,1,12,2
6907,3,601,1,1,2,2,4,2
6947,1,1700,1,1,1,1,5,2
6947,2,1700,1,1,1,1,6,1
