variable_names,gqtotals,gqtype,gqtype
variable_categories,1,1,2
geo,,,
3875,2.36406914,0,2.36406914
3876,0,0,0
3877,54.37359022,0,54.37359022
3878,135.9339756,0,135.9339756
3879,195.6576852,174.3810629,21.27662226
3880,49.64545194,0,49.64545194
3881,0,0,0
3882,0,0,0
3883,48.82669761,48.82669761,0
3884,0,0,0
3885,66.19393592,0,66.19393592
3886,0,0,0
3887,0,0,0
3888,7.09220742,0,7.09220742
3889,10.63831113,0,10.63831113
3890,160.4305779,160.4305779,0
3891,11.8203457,0,11.8203457
3892,86.24634329,82.49565667,3.750686617
3893,5.91017285,0,5.91017285
3894,230.183003,230.183003,0
3895,9.456276561,0,9.456276561
3896,5.91017285,0,5.91017285
3897,282.8514331,279.0097006,3.841732527
3898,0,0,0
3899,0,0,0
3900,1.18203457,0,1.18203457
3901,0,0,0
3902,2.36406914,0,2.36406914
3903,0,0,0
3904,1.18203457,0,1.18203457
3905,74.46817791,0,74.46817791
3906,0,0,0
3907,0,0,0
3908,7.09220742,0,7.09220742
3909,1314.422442,0,1314.422442
3910,11.8203457,0,11.8203457
3911,20.92572755,20.92572755,0
3912,0,0,0
3913,21.27662226,0,21.27662226
3914,85.10648905,0,85.10648905
3915,5.91017285,0,5.91017285
3916,0,0,0
3917,22.45865683,0,22.45865683
3918,4.72813828,0,4.72813828
3919,0,0,0
3920,10.63831113,0,10.63831113
3921,15.36644941,0,15.36644941
3922,0,0,0
3923,560.2843862,0,560.2843862
3924,0,0,0
3926,5.91017285,0,5.91017285
3927,0,0,0
3929,0,0,0
3930,2.36406914,0,2.36406914
3931,0,0,0
3932,0,0,0
3933,50.82748651,0,50.82748651
3934,0,0,0
3935,14.18441484,0,14.18441484
3936,21.27662226,0,21.27662226
3937,0,0,0
3938,0,0,0
3939,0,0,0
3940,4.72813828,0,4.72813828
3941,479.9060354,0,479.9060354
3942,11.8203457,0,11.8203457
3943,11.8203457,0,11.8203457
3944,0,0,0
3945,13.00238027,0,13.00238027
3946,124.1136299,0,124.1136299
3947,7.09220742,0,7.09220742
3948,114.6573533,0,114.6573533
3949,0,0,0
3950,10.63831113,0,10.63831113
3951,0,0,0
3952,0,0,0
3953,2.36406914,0,2.36406914
3954,9.456276561,0,9.456276561
3955,16.54848398,0,16.54848398
3956,0,0,0
3957,0,0,0
3958,221.0404646,0,221.0404646
3959,0,0,0
3960,24.82272597,0,24.82272597
3961,7.09220742,0,7.09220742
3962,0,0,0
3963,0,0,0
3964,216.232518,216.232518,0
3966,14.18441484,0,14.18441484
3967,8.27424199,0,8.27424199
3968,7.09220742,0,7.09220742
3969,3.54610371,0,3.54610371
3970,1.18203457,0,1.18203457
3971,0,0,0
3972,13.00238027,0,13.00238027
3973,9.456276561,0,9.456276561
3974,9.456276561,0,9.456276561
3975,10.63831113,0,10.63831113
3977,15.36644941,0,15.36644941
3978,0,0,0
3979,0,0,0
3980,0,0,0
3981,0,0,0
3982,8.27424199,0,8.27424199
3983,0,0,0
3984,0,0,0
3985,643.2566352,441.7383273,201.5183079
3987,0,0,0
3988,27.21246968,0,27.21246968
3989,0,0,0
3990,0,0,0
3991,5.915754277,0,5.915754277
3992,87.32543836,61.59621432,25.72922405
3993,0,0,0
3994,0,0,0
3995,9.465206844,0,9.465206844
3996,16.56411198,0,16.56411198
3997,0,0,0
3998,44.95973251,0,44.95973251
3999,0,0,0
4000,292.3570167,246.2141333,46.14288336
4001,0,0,0
4002,1.183150855,0,1.183150855
4003,116.1687006,105.5203429,10.6483577
4004,9.465206844,0,9.465206844
4005,0,0,0
4006,0,0,0
4007,56.57718903,23.44896508,33.12822395
4008,0,0,0
4009,44.95973251,0,44.95973251
4010,11.83150855,0,11.83150855
4011,2.366301711,0,2.366301711
4012,1956.957413,1900.166172,56.79124106
4013,0,0,0
4014,506.1448542,353.7186194,152.4262348
4015,0,0,0
4016,0,0,0
4017,0,0,0
4018,0,0,0
4019,3.18330097,2.224645405,0.958655565
4020,0,0,0
4021,10.6483577,0,10.6483577
4022,19.09980582,13.34787243,5.75193339
4023,0,0,0
4024,0,0,0
4025,0,0,0
4026,0,0,0
4027,58.6224127,58.6224127,0
4028,531.611262,371.5157826,160.0954793
4030,0,0,0
4031,0,0,0
4032,0,0,0
4033,0,0,0
4034,0,0,0
4035,38.19961164,26.69574486,11.50386678
4036,11.83150855,0,11.83150855
4037,13.01465941,0,13.01465941
4038,5.915754277,0,5.915754277
4039,0,0,0
4040,15.91650485,11.12322703,4.793277825
4041,14.19781027,0,14.19781027
4042,0,0,0
4043,5.915754277,0,5.915754277
4044,0,0,0
4045,0,0,0
4046,0,0,0
4047,0,0,0
4048,11.83150855,0,11.83150855
4049,2.366301711,0,2.366301711
4050,0,0,0
4051,11.83150855,0,11.83150855
4052,1.183150855,0,1.183150855
4053,4.732603422,0,4.732603422
4054,0,0,0
4055,0,0,0
4056,0,0,0
4057,0,0,0
4058,19.09980582,13.34787243,5.75193339
4059,2.366301711,0,2.366301711
4060,0,0,0
4061,2.366301711,0,2.366301711
4062,5.915754277,0,5.915754277
4063,0,0,0
4064,108.232233,75.63794377,32.59428921
4065,0,0,0
4066,5.915754277,0,5.915754277
4067,0,0,0
4068,0,0,0
4069,5.915754277,0,5.915754277
4070,0,0,0
4071,5.915754277,0,5.915754277
4072,5.915754277,0,5.915754277
4073,4.732603422,0,4.732603422
4074,9.465206844,0,9.465206844
4075,7.098905133,0,7.098905133
4076,3.549452566,0,3.549452566
4077,48.50918507,0,48.50918507
4078,0,0,0
4079,0,0,0
4080,1974.167107,574.4996445,1399.667462
4081,4.732603422,0,4.732603422
4082,2.366301711,0,2.366301711
4083,0,0,0
4084,0,0,0
4085,10.6483577,0,10.6483577
4086,20.11356454,0,20.11356454
4087,5.915754277,0,5.915754277
4088,0,0,0
4089,0,0,0
4090,9.465206844,0,9.465206844
4091,0,0,0
4092,39.04397823,0,39.04397823
4093,0,0,0
4094,8.282055988,0,8.282055988
4095,0,0,0
4096,3.549452566,0,3.549452566
4097,8.282055988,0,8.282055988
4098,3.549452566,0,3.549452566
4099,0,0,0
4100,0,0,0
4101,36.33006123,32.39519637,3.934864859
4102,0,0,0
4103,0,0,0
4104,0,0,0
4105,7.704152297,3.583554158,4.120598139
4106,25.66008841,0,25.66008841
4107,113.3320572,0,113.3320572
4108,40.62847332,0,40.62847332
4109,973.645641,868.1912627,105.4543782
4110,70.56524313,0,70.56524313
4111,159.8522694,142.538864,17.31340538
4112,784.7293226,699.7362416,84.99308095
4113,16.03755526,0,16.03755526
4114,1.069170351,0,1.069170351
4115,24.59091806,0,24.59091806
4116,0,0,0
4117,0,0,0
4118,1.069170351,0,1.069170351
4119,5.345851753,0,5.345851753
4120,2.138340701,0,2.138340701
4121,16.03755526,0,16.03755526
4122,1615.5164,0,1615.5164
4123,0,0,0
4124,0,0,0
4125,0,0,0
4126,20.31423666,0,20.31423666
4127,21.79682257,17.20012997,4.596692597
4128,20.31423666,0,20.31423666
4129,374.9053482,295.8422355,79.06311267
4130,0,0,0
4131,5.345851753,0,5.345851753
4132,6.415022103,0,6.415022103
4133,5.345851753,0,5.345851753
4134,23.11245689,10.75066247,12.36179442
4135,14.96838491,0,14.96838491
4136,0,0,0
4137,13.48226652,6.271219777,7.211046744
4138,10.69170351,0,10.69170351
4139,123.2664368,57.33686653,65.92957023
4140,8.553362804,0,8.553362804
4141,0,0,0
4142,0,0,0
4143,2.138340701,0,2.138340701
4144,0,0,0
4145,6.415022103,0,6.415022103
4146,0,0,0
4147,0,0,0
4148,4.276681402,0,4.276681402
4149,2.138340701,0,2.138340701
4150,0,0,0
4151,366.1866191,288.9621835,77.22443563
4152,3.207511052,0,3.207511052
4153,16.03755526,0,16.03755526
4154,20.31423666,0,20.31423666
4155,10.69170351,0,10.69170351
4156,5.345851753,0,5.345851753
4157,7.484192454,0,7.484192454
4158,4.276681402,0,4.276681402
4159,0,0,0
4160,8.553362804,0,8.553362804
4161,5.345851753,0,5.345851753
4162,0,0,0
4163,0,0,0
4164,3.207511052,0,3.207511052
4165,96.30190372,44.79442698,51.50747674
4166,7.484192454,0,7.484192454
4167,2.138340701,0,2.138340701
4168,21.38340701,0,21.38340701
4169,0,0,0
4170,3.207511052,0,3.207511052
4171,5.345851753,0,5.345851753
4172,0,0,0
4173,14.96838491,0,14.96838491
4174,113.2884851,24.54734598,88.74113909
4175,0,0,0
4176,1886.016498,0,1886.016498
4177,9.622533155,0,9.622533155
4178,1756.823899,1386.330476,370.4934233
4179,10.69170351,0,10.69170351
4180,5.345851753,0,5.345851753
4181,0,0,0
4182,0,0,0
4183,10.69170351,0,10.69170351
4184,38.49013262,0,38.49013262
4185,0,0,0
4186,6.415022103,0,6.415022103
4187,22.45257736,0,22.45257736
4188,3.207511052,0,3.207511052
4189,14.96838491,0,14.96838491
4190,0,0,0
4191,0,0,0
4192,7.484192454,0,7.484192454
4193,6.415022103,0,6.415022103
4194,27.79842911,0,27.79842911
4195,26.72925876,0,26.72925876
4196,27.79842911,0,27.79842911
4197,0,0,0
4198,53.45851753,0,53.45851753
4199,0,0,0
4200,0,0,0
4201,0,0,0
4202,0,0,0
4203,0,0,0
4204,0,0,0
4205,0,0,0
4206,0,0,0
4207,31.46720173,0,31.46720173
4208,98.67303447,90.00855148,8.664482992
4209,15.73360086,0,15.73360086
4210,0,0,0
4211,0,0,0
4212,0,0,0
4213,6.051384947,0,6.051384947
4214,1.640575776,0.473889271,1.166686505
4215,0,0,0
4216,373.5479162,340.7466592,32.80125704
4217,4.841107958,0,4.841107958
4218,0,0,0
4219,0,0,0
4220,13.31304688,0,13.31304688
4221,133.9134039,122.1544627,11.7589412
4222,6.051384947,0,6.051384947
4223,4.841107958,0,4.841107958
4224,14.52332387,0,14.52332387
4225,0,0,0
4226,0,0,0
4227,21.32748508,6.160560523,15.16692456
4228,634.3266502,578.6264024,55.70024781
4229,2.420553979,0,2.420553979
4230,19.68690931,5.686671252,14.00023806
4231,0,0,0
4232,9.843454654,2.843335626,7.000119028
4233,0,0,0
4234,6.051384947,0,6.051384947
4235,39.47218869,39.47218869,0
4236,21.32748508,6.160560523,15.16692456
4237,3.630830968,0,3.630830968
4238,5.825199808,2.416664614,3.408535195
4239,26.24921241,7.582228336,18.66698407
4240,7.766933078,3.222219485,4.544713593
4241,2.420553979,0,2.420553979
4242,89.31973039,37.05552408,52.26420632
4243,0,0,0
4244,590.6072792,170.6001376,420.0071417
4245,0,0,0
4246,33.00946558,13.69443281,19.31503277
4247,0,0,0
4248,0,0,0
4249,831.6984924,709.355275,122.3432174
4250,17.47559942,7.249993841,10.22560558
4251,7.261661937,0,7.261661937
4252,0,0,0
4253,0,0,0
4254,21.35906596,8.861103583,12.49796238
4255,18.15415484,0,18.15415484
4256,21.78498581,0,21.78498581
4257,2.420553979,0,2.420553979
4258,0,0,0
4259,0,0,0
4260,7.261661937,0,7.261661937
4261,15.53386616,6.44443897,9.089427186
4262,84.71938926,0,84.71938926
4263,0,0,0
4264,59.30357248,0,59.30357248
4265,101.9501378,86.95322726,14.99691052
4266,4.841107958,0,4.841107958
4267,7.261661937,0,7.261661937
4268,11.48403043,3.317224897,8.166805532
4269,31.17093974,9.003896149,22.16704359
4270,34.45209129,9.951674691,24.5004166
4271,25.41581678,0,25.41581678
4272,0,0,0
4273,24.20553979,0,24.20553979
4274,423.8979413,361.542366,62.35557532
4275,0,0,0
