varialbe_names,hhtotals,hsize,hsize,hsize,hsize
variable_categories,1,1,2,3,4
geo,,,,,
1042009,355.6002913,45.31137006,57.00462685,111.2947477,141.9895467
1042011,8.755033845,1.11558564,1.403478708,2.740125096,3.495844401
1042008,59.8260646,7.623168537,9.590437837,18.72418816,23.88827007
3090046,0,0,0,0,0
3090037,157.7538252,16.94418552,17.22082528,45.59945436,77.98936001
3090039,380.3049562,40.84818688,41.51509606,109.9288621,188.0128112
3090036,257.4001023,27.6470956,28.09847675,74.40266,127.25187
3090035,189.1801296,20.31965443,20.65140389,54.68336933,93.52570194
3090028,228.2296465,24.5139252,24.91415255,65.97080823,112.8307605
3090021,55.92948733,6.007332045,6.105410936,16.16667046,27.65007389
3090026,67.83103331,7.285665568,7.40461521,19.60686598,33.53388655
3090027,93.88997385,10.08463112,10.24927816,27.13932022,46.41674434
3090029,72.26494259,7.761907468,7.888632488,20.88850745,35.72589519
3090034,99.33512561,10.6694896,10.84368535,28.71326589,49.10868478
3090055,176.5007048,18.95776969,19.2672843,51.01832443,87.25732636
3090056,89.61164033,9.625099466,9.782243947,25.90264863,44.30164829
3090054,81.59948846,8.764521996,8.907616233,23.58670001,40.34065022
3090053,81.36612482,8.739456633,8.882141639,23.5192452,40.22528135
3090050,276.6914971,29.71916562,30.20437649,79.97892463,136.7890304
3090040,1.244606116,0.133681937,0.135864499,0.359759009,0.615300671
3090014,0,0,0,0,0
3090031,802.6153689,86.20813914,87.61561896,231.9995908,396.79202
3090006,20.84715244,2.239172445,2.275730363,6.025963397,10.30628623
3090017,0,0,0,0,0
3090030,35.93800159,3.860065932,3.923087416,10.38804138,17.76680687
3090022,183.1904627,19.67631011,19.99755598,52.9520291,90.56456747
3090020,32.74869842,3.517505968,3.574934637,9.466158918,16.1900989
3090018,23.49194043,2.523246561,2.564442424,6.79045129,11.61380016
3090016,21.85839491,2.347789019,2.386120268,6.318267591,10.80621803
3090051,108.5918836,11.66374901,11.85417756,31.38897351,53.68498352
3090041,1072.53932,115.2004092,117.0812322,310.0223258,530.235353
3090047,130.2169149,13.98647266,14.21482324,37.63978629,64.37583267
3090052,63.16376037,6.784358304,6.895123338,18.25776969,31.22650904
