varialbe_names,ptotals,psex,psex,page,page,page,page,page,page,page,page,page,pqat,pqat
variable_categories,1,1,2,1,2,3,4,5,6,7,8,9,1,2
geo,,,,,,,,,,,,,,
6075013,63.07504698,30.4743982,32.60064878,8.709106905,10.68844938,1.583473983,4.486509618,17.15430148,11.61214254,6.597808262,2.111298644,0.131956165,59.58186256,3.49318442
6075014,1.44407303,0.69769677,0.74637626,0.199390837,0.244706936,0.036252879,0.102716492,0.392739527,0.265854449,0.151053664,0.048337173,0.003021073,1.364098243,0.079974786
6075017,1166.96573,563.8137432,603.151987,161.1291594,197.7494229,29.2962108,83.0059306,317.375617,214.8388792,122.067545,39.0616144,2.4413509,1102.337534,64.62819613
6075007,592.0699422,286.0556756,306.0142666,81.75024307,100.3298438,14.86368056,42.11376158,161.023206,109.0003241,61.93200232,19.81824074,1.238640046,559.2802798,32.78966242
6075011,61.16680762,29.55244175,31.61436587,8.445626157,10.36508665,1.535568392,4.350777111,16.63532425,11.26083488,6.398201634,2.047424523,0.127964033,57.77930417,3.387503452
6075003,20.06230031,9.693001552,10.36929875,2.770108411,3.399678504,0.503656075,1.427025545,5.456274142,3.693477881,2.098566978,0.671541433,0.04197134,18.95122202,1.111078282
6075008,169.3691368,81.829864,87.53927278,23.38569671,28.70062778,4.251944856,12.04717709,46.06273595,31.18092895,17.7164369,5.669259809,0.354328738,159.9892368,9.379899947
6075006,16.4005437,7.923841886,8.47670181,2.264510217,2.77917163,0.41172913,1.16656587,4.460398913,3.019346957,1.715538043,0.548972174,0.034310761,15.49225862,0.908285074
6075001,8.458142032,4.086509652,4.37163238,1.167860615,1.433283482,0.212338294,0.601625165,2.300331515,1.557147487,0.88474289,0.283117725,0.017694858,7.989718283,0.468423749
6075010,52.91496174,25.56560307,27.34935867,7.306249947,8.966761298,1.328409081,3.76382573,14.39109838,9.741666596,5.535037838,1.771212108,0.110700757,49.98445706,2.930504673
6075009,78.49568398,37.92480299,40.57088099,10.8383162,13.30156988,1.970602945,5.583375011,21.34819857,14.45108826,8.210845604,2.627470593,0.164216912,74.14848309,4.347200889
