hid,sample_geo,gqtype,gqrtotals,gqtotals
592031,302,2,1,1
593916,300,1,1,1
594051,303,1,1,1
594239,105,1,1,1
594267,305,2,1,1
594896,1300,2,1,1
595041,1101,2,1,1
595895,903,1,1,1
596777,903,2,1,1
597283,105,2,1,1
597796,905,1,1,1
598724,101,2,1,1
598767,100,1,1,1
602177,500,2,1,1
604516,300,1,1,1
605034,1300,2,1,1
605452,300,2,1,1
605887,700,1,1,1
606720,500,2,1,1
607499,104,1,1,1
608105,905,2,1,1
608239,903,2,1,1
608484,1300,2,1,1
609130,101,2,1,1
609593,1300,1,1,1
609733,302,2,1,1
609945,700,1,1,1
610001,302,2,1,1
610088,300,1,1,1
610651,104,2,1,1
611041,105,2,1,1
611286,300,1,1,1
611473,1101,2,1,1
614044,1300,1,1,1
614098,104,1,1,1
615072,1101,1,1,1
616607,1300,2,1,1
617014,300,2,1,1
620005,300,1,1,1
622663,1300,2,1,1
623130,103,1,1,1
623301,900,1,1,1
623523,104,1,1,1
623766,905,2,1,1
624491,306,1,1,1
625822,100,2,1,1
626097,903,2,1,1
626818,105,2,1,1
629033,300,1,1,1
629122,100,2,1,1
629334,700,1,1,1
630414,1300,2,1,1
630460,905,1,1,1
630728,905,2,1,1
631178,700,2,1,1
632176,906,2,1,1
632857,102,1,1,1
633337,103,2,1,1
633924,1300,2,1,1
633950,700,2,1,1
634414,903,2,1,1
635410,500,1,1,1
635592,305,1,1,1
635690,302,1,1,1
637171,101,1,1,1
639400,902,1,1,1
640946,305,1,1,1
641184,302,1,1,1
642568,1100,1,1,1
644551,1300,2,1,1
645835,104,1,1,1
646074,904,2,1,1
647545,300,1,1,1
647857,104,2,1,1
648417,500,1,1,1
648671,306,1,1,1
651359,1300,2,1,1
651550,300,1,1,1
652932,300,2,1,1
653065,905,2,1,1
653637,901,1,1,1
653872,900,2,1,1
655232,905,2,1,1
655245,305,2,1,1
655334,302,2,1,1
655484,303,2,1,1
655832,300,1,1,1
657540,103,2,1,1
657761,1101,1,1,1
658503,905,2,1,1
659322,302,2,1,1
659825,500,2,1,1
