hid,sample_geo,hinc,hsize,hhrtotals,hhtotals
29668,306,15,2,1,1
29685,904,4,1,1,1
29702,1904,16,3,1,1
29736,2101,9,3,1,1
29801,1600,12,4,1,1
29816,2302,7,1,1,1
29932,1700,3,2,1,1
30007,306,7,2,1,1
30110,601,8,4,1,1
30138,1103,7,3,1,1
30167,2102,13,5,1,1
30209,1600,14,3,1,1
30210,2303,13,3,1,1
30224,1504,4,1,1,1
30236,1105,15,2,1,1
30249,501,1,3,1,1
30339,1202,4,1,1,1
30343,1402,14,5,1,1
30426,1203,5,1,1,1
30566,305,15,2,1,1
30587,307,13,4,1,1
30616,1205,12,2,1,1
30651,306,5,3,1,1
30776,1502,12,2,1,1
30810,2002,7,1,1,1
30814,1904,3,4,1,1
30817,901,8,1,1,1
30853,1102,2,4,1,1
30867,1205,15,1,1,1
30940,1106,15,2,1,1
30952,2302,14,2,1,1
30966,2102,3,1,1,1
30970,1003,2,1,1,1
30984,1104,15,5,1,1
31003,101,8,4,1,1
31085,1204,13,4,1,1
31124,1402,6,2,1,1
31131,703,11,1,1,1
31153,1002,12,4,1,1
31179,2104,16,2,1,1
31199,1102,12,2,1,1
31201,800,16,3,1,1
31205,1201,12,4,1,1
31316,1203,1,3,1,1
31327,1106,16,2,1,1
31344,1902,8,1,1,1
31448,1205,12,3,1,1
31470,2500,2,1,1,1
31480,303,3,1,1,1
31519,1600,11,2,1,1
31611,602,14,3,1,1
31747,1202,1,1,1,1
31764,1600,14,2,1,1
31766,1301,3,3,1,1
31779,302,3,2,1,1
31804,501,16,7,1,1
31822,1101,11,2,1,1
31824,906,16,4,1,1
31891,1901,2,3,1,1
31947,308,10,5,1,1
31991,1203,12,7,1,1
32020,1600,14,5,1,1
32034,2400,11,5,1,1
32087,906,3,4,1,1
32131,1501,11,3,1,1
32153,2201,9,5,1,1
32234,303,10,2,1,1
32256,1205,16,4,1,1
32305,102,12,4,1,1
32324,906,1,1,1,1
32339,602,15,3,1,1
32341,307,13,1,1,1
32359,1600,5,4,1,1
32399,1202,9,3,1,1
32457,1104,15,5,1,1
32458,2500,10,2,1,1
32508,1203,10,1,1,1
32546,2301,12,5,1,1
32564,602,14,6,1,1
32568,1302,2,1,1,1
32586,1902,15,4,1,1
32649,1600,11,1,1,1
32651,2103,4,5,1,1
32715,1902,10,1,1,1
32802,2202,2,2,1,1
32938,306,11,2,1,1
32949,1001,5,1,1,1
32969,2600,8,1,1,1
32974,2302,12,2,1,1
33132,1901,12,7,1,1
33154,1301,2,1,1,1
33175,303,12,6,1,1
33198,1901,12,2,1,1
33235,901,12,1,1,1
33357,2001,16,3,1,1
33416,1205,15,3,1,1
33439,2202,13,4,1,1
33480,1302,1,1,1,1
33503,400,5,4,1,1
33527,305,15,3,1,1
33587,2001,13,2,1,1
33590,303,9,2,1,1
33603,1902,16,3,1,1
33797,1001,10,3,1,1
33803,1001,11,1,1,1
33811,903,12,5,1,1
33817,701,5,2,1,1
33821,1201,12,4,1,1
33826,503,12,1,1,1
33832,1904,5,5,1,1
33865,1201,14,7,1,1
33928,904,9,1,1,1
33936,1600,14,4,1,1
33960,2002,16,2,1,1
33962,2202,13,3,1,1
34031,907,3,1,1,1
34186,800,15,4,1,1
34204,1101,2,1,1,1
34230,2103,12,2,1,1
34283,2101,1,1,1,1
34294,1104,13,2,1,1
34448,2301,4,1,1,1
34453,2102,11,1,1,1
34518,1401,14,4,1,1
34546,1003,11,1,1,1
34649,302,15,5,1,1
34677,2600,13,1,1,1
34713,1402,3,1,1,1
34761,1102,13,4,1,1
34811,703,9,1,1,1
34823,308,5,1,1,1
34862,2400,8,2,1,1
34963,2103,11,2,1,1
34964,701,7,2,1,1
35020,302,13,4,1,1
35037,1800,11,2,1,1
35091,1401,10,2,1,1
35094,800,15,2,1,1
35134,303,11,4,1,1
35147,1504,13,4,1,1
35159,1504,1,3,1,1
35184,102,11,2,1,1
35185,2302,13,2,1,1
35241,906,13,2,1,1
35283,2001,12,1,1,1
35353,1001,11,2,1,1
35370,304,4,3,1,1
35379,503,15,2,1,1
35383,2303,10,2,1,1
35431,2301,13,1,1,1
35456,101,7,2,1,1
35459,701,13,2,1,1
35554,2400,7,3,1,1
35607,1104,14,2,1,1
35617,102,8,2,1,1
35637,1600,7,3,1,1
35715,1104,4,2,1,1
35748,2301,2,1,1,1
35783,903,7,2,1,1
35863,2104,10,2,1,1
35897,2103,14,4,1,1
35920,901,11,4,1,1
35975,1202,11,3,1,1
36195,1503,12,6,1,1
36212,2303,12,4,1,1
36222,1600,13,3,1,1
36235,2103,7,2,1,1
36290,1301,6,2,1,1
36348,1102,14,3,1,1
36356,1103,10,4,1,1
36427,1402,6,2,1,1
36450,400,7,2,1,1
36519,1301,1,1,1,1
36541,102,13,4,1,1
36664,1103,12,3,1,1
36669,101,1,1,1,1
36713,1302,3,1,1,1
36750,2102,2,1,1,1
36763,1302,7,1,1,1
36798,1105,10,1,1,1
36811,302,11,2,1,1
36816,1402,4,2,1,1
36916,2102,12,4,1,1
36929,2201,12,2,1,1
36978,703,14,3,1,1
36984,1401,10,4,1,1
37049,102,12,2,1,1
37141,101,4,1,1,1
37167,1301,16,3,1,1
37178,102,1,1,1,1
37214,303,13,2,1,1
37241,602,12,2,1,1
37249,2202,4,1,1,1
37254,703,13,2,1,1
37279,905,3,1,1,1
37287,307,12,2,1,1
37353,502,16,3,1,1
37368,1202,6,1,1,1
37394,906,14,2,1,1
37432,2102,13,2,1,1
