hid,sample_geo,hsize,rhsize,hhrtotals,hhtotals
859,45,1,1,1,1
860,45,1,1,1,1
861,45,1,1,1,1
862,45,1,1,1,1
863,45,1,1,1,1
864,45,1,1,1,1
865,45,1,1,1,1
866,45,1,1,1,1
867,45,1,1,1,1
868,45,1,1,1,1
869,45,1,1,1,1
870,45,1,1,1,1
871,45,1,1,1,1
872,45,1,1,1,1
873,45,1,1,1,1
874,45,1,1,1,1
875,45,1,1,1,1
876,45,1,1,1,1
877,45,1,1,1,1
878,45,1,1,1,1
879,47,1,1,1,1
880,47,1,1,1,1
881,47,1,1,1,1
882,47,1,1,1,1
883,47,1,1,1,1
884,46,1,1,1,1
885,46,1,1,1,1
886,47,1,1,1,1
887,46,1,1,1,1
888,46,1,1,1,1
889,46,1,1,1,1
890,46,1,1,1,1
891,46,3,3,1,1
892,46,4,4,1,1
893,46,3,3,1,1
894,46,4,4,1,1
895,46,4,4,1,1
896,47,1,1,1,1
897,46,1,1,1,1
898,46,2,2,1,1
899,46,2,2,1,1
900,46,2,2,1,1
901,46,1,1,1,1
902,46,1,1,1,1
903,46,1,1,1,1
904,46,1,1,1,1
905,46,1,1,1,1
906,47,1,1,1,1
907,47,1,1,1,1
908,47,1,1,1,1
909,47,1,1,1,1
910,47,1,1,1,1
911,46,1,1,1,1
912,46,3,3,1,1
913,46,1,1,1,1
914,46,1,1,1,1
915,46,1,1,1,1
916,46,1,1,1,1
917,46,1,1,1,1
918,46,1,1,1,1
919,46,1,1,1,1
920,46,1,1,1,1
921,46,1,1,1,1
922,46,1,1,1,1
923,46,1,1,1,1
924,46,1,1,1,1
925,46,1,1,1,1
926,46,2,2,1,1
927,46,2,2,1,1
928,46,1,1,1,1
929,46,1,1,1,1
930,46,1,1,1,1
931,46,1,1,1,1
932,46,1,1,1,1
933,46,1,1,1,1
934,47,1,1,1,1
935,47,1,1,1,1
936,47,1,1,1,1
937,46,1,1,1,1
938,46,1,1,1,1
939,46,1,1,1,1
940,46,1,1,1,1
941,46,1,1,1,1
942,46,1,1,1,1
943,46,1,1,1,1
944,46,1,1,1,1
945,46,1,1,1,1
946,46,1,1,1,1
947,46,1,1,1,1
948,47,1,1,1,1
949,47,1,1,1,1
950,47,1,1,1,1
951,47,1,1,1,1
952,47,1,1,1,1
953,47,1,1,1,1
954,47,1,1,1,1
955,47,1,1,1,1
956,47,1,1,1,1
957,47,1,1,1,1
958,47,1,1,1,1
959,47,1,1,1,1
960,47,1,1,1,1
961,47,1,1,1,1
962,47,1,1,1,1
963,47,1,1,1,1
964,47,1,1,1,1
965,47,1,1,1,1
966,47,1,1,1,1
967,47,1,1,1,1
968,46,1,1,1,1
969,46,1,1,1,1
970,46,1,1,1,1
971,46,1,1,1,1
972,46,1,1,1,1
973,46,1,1,1,1
974,46,1,1,1,1
975,46,1,1,1,1
976,46,1,1,1,1
977,46,1,1,1,1
978,46,1,1,1,1
979,46,1,1,1,1
980,46,1,1,1,1
981,46,1,1,1,1
982,47,1,1,1,1
983,47,1,1,1,1
984,47,1,1,1,1
985,47,1,1,1,1
986,47,1,1,1,1
987,47,1,1,1,1
988,47,1,1,1,1
989,47,1,1,1,1
990,47,1,1,1,1
991,47,1,1,1,1
992,47,1,1,1,1
993,47,1,1,1,1
994,47,1,1,1,1
995,47,1,1,1,1
996,47,1,1,1,1
997,47,1,1,1,1
998,45,1,1,1,1
999,47,1,1,1,1
1000,47,1,1,1,1
1001,46,2,2,1,1
1002,46,2,2,1,1
1003,46,1,1,1,1
1004,46,2,2,1,1
1005,46,2,2,1,1
1006,46,1,1,1,1
1007,46,1,1,1,1
1008,46,1,1,1,1
1009,46,1,1,1,1
1010,46,1,1,1,1
1011,46,1,1,1,1
1012,47,1,1,1,1
1013,47,4,4,1,1
1014,47,4,4,1,1
1015,47,4,4,1,1
1016,46,1,1,1,1
1017,46,1,1,1,1
1018,46,1,1,1,1
1019,47,1,1,1,1
1020,46,2,2,1,1
1021,46,1,1,1,1
1022,46,1,1,1,1
1023,46,1,1,1,1
1024,46,1,1,1,1
1025,46,1,1,1,1
1026,46,1,1,1,1
1027,46,1,1,1,1
1028,47,1,1,1,1
1029,47,1,1,1,1
1030,47,2,2,1,1
1031,47,1,1,1,1
1032,47,1,1,1,1
1033,47,1,1,1,1
1034,46,3,3,1,1
1035,46,1,1,1,1
1036,46,2,2,1,1
1037,47,1,1,1,1
1038,47,1,1,1,1
1039,47,1,1,1,1
1040,47,1,1,1,1
1041,47,1,1,1,1
1042,47,1,1,1,1
1043,47,1,1,1,1
1044,47,1,1,1,1
1045,47,1,1,1,1
1046,47,1,1,1,1
1047,47,1,1,1,1
1048,47,1,1,1,1
1049,47,1,1,1,1
1050,47,1,1,1,1
1051,47,1,1,1,1
1052,47,1,1,1,1
1053,46,1,1,1,1
1054,47,1,1,1,1
1055,46,1,1,1,1
1056,46,1,1,1,1
1057,47,1,1,1,1
1058,47,1,1,1,1
1059,47,1,1,1,1
1060,47,1,1,1,1
1061,47,1,1,1,1
1062,47,1,1,1,1
1063,46,1,1,1,1
1064,46,1,1,1,1
1065,46,1,1,1,1
1066,46,4,4,1,1
1067,46,1,1,1,1
1068,46,1,1,1,1
1069,46,3,3,1,1
1070,44,4,4,1,1
1071,44,4,4,1,1
1072,44,1,1,1,1
1073,44,1,1,1,1
1074,44,1,1,1,1
1075,44,1,1,1,1
1076,47,1,1,1,1
1077,47,1,1,1,1
1078,47,1,1,1,1
1079,47,1,1,1,1
1080,47,1,1,1,1
1081,47,1,1,1,1
1082,46,2,2,1,1
1083,46,4,4,1,1
1084,46,2,2,1,1
1085,44,1,1,1,1
1086,46,1,1,1,1
1087,46,1,1,1,1
1088,46,1,1,1,1
1089,47,1,1,1,1
1090,46,1,1,1,1
1091,46,1,1,1,1
1092,46,1,1,1,1
1093,46,1,1,1,1
1094,46,1,1,1,1
1095,46,1,1,1,1
1096,46,1,1,1,1
1097,46,1,1,1,1
1098,44,4,4,1,1
1099,44,4,4,1,1
1100,44,1,1,1,1
1101,44,4,4,1,1
1102,46,3,3,1,1
1103,44,1,1,1,1
1104,44,1,1,1,1
1105,47,1,1,1,1
1106,47,1,1,1,1
1107,47,1,1,1,1
1108,47,1,1,1,1
1109,34,1,1,1,1
1110,44,1,1,1,1
1111,47,1,1,1,1
1112,47,1,1,1,1
1113,47,1,1,1,1
1114,44,1,1,1,1
1115,46,1,1,1,1
1116,46,1,1,1,1
1117,44,1,1,1,1
1118,44,1,1,1,1
1119,44,1,1,1,1
1120,44,1,1,1,1
1121,44,1,1,1,1
1122,44,3,3,1,1
1123,44,3,3,1,1
1124,44,4,4,1,1
1125,46,1,1,1,1
1126,46,1,1,1,1
1127,46,1,1,1,1
1128,46,1,1,1,1
1129,46,1,1,1,1
1130,46,1,1,1,1
1131,46,1,1,1,1
1132,44,4,4,1,1
1133,44,4,4,1,1
1134,44,1,1,1,1
1135,44,1,1,1,1
1136,44,1,1,1,1
1137,44,1,1,1,1
1138,44,1,1,1,1
1139,44,1,1,1,1
1140,44,1,1,1,1
1141,44,1,1,1,1
1142,44,1,1,1,1
1143,46,1,1,1,1
1144,46,1,1,1,1
1145,46,1,1,1,1
1146,44,3,3,1,1
1147,47,4,4,1,1
1148,44,1,1,1,1
1149,46,1,1,1,1
1150,46,4,4,1,1
1151,46,1,1,1,1
1152,46,1,1,1,1
1153,46,1,1,1,1
1154,46,1,1,1,1
1155,46,1,1,1,1
1156,46,1,1,1,1
1157,46,1,1,1,1
1158,46,1,1,1,1
1159,44,1,1,1,1
1160,46,1,1,1,1
1161,46,1,1,1,1
1162,44,1,1,1,1
1163,44,1,1,1,1
1164,44,1,1,1,1
1165,44,1,1,1,1
1166,46,4,4,1,1
1167,46,3,3,1,1
1168,47,1,1,1,1
1169,47,1,1,1,1
1170,47,1,1,1,1
1171,47,1,1,1,1
1172,44,1,1,1,1
1173,44,1,1,1,1
1174,46,3,3,1,1
1175,46,1,1,1,1
1176,46,3,3,1,1
1177,34,1,1,1,1
1178,34,1,1,1,1
1179,34,1,1,1,1
1180,34,1,1,1,1
1181,34,1,1,1,1
1182,34,1,1,1,1
1183,34,1,1,1,1
1184,34,1,1,1,1
1185,34,1,1,1,1
1186,34,1,1,1,1
1187,34,1,1,1,1
1188,34,1,1,1,1
1189,34,1,1,1,1
1190,34,1,1,1,1
1191,34,1,1,1,1
1192,34,1,1,1,1
1193,34,1,1,1,1
1194,34,1,1,1,1
1195,34,1,1,1,1
1196,34,1,1,1,1
1197,34,1,1,1,1
1198,34,1,1,1,1
1199,34,1,1,1,1
1200,34,1,1,1,1
1201,34,1,1,1,1
1202,34,1,1,1,1
1203,34,4,4,1,1
1204,34,3,3,1,1
1205,34,1,1,1,1
1206,34,1,1,1,1
1207,34,1,1,1,1
1208,34,1,1,1,1
1209,34,1,1,1,1
1210,34,1,1,1,1
1211,34,1,1,1,1
1212,34,3,3,1,1
1213,34,1,1,1,1
1214,34,1,1,1,1
1215,34,4,4,1,1
1216,34,1,1,1,1
1217,34,1,1,1,1
1218,34,1,1,1,1
1219,34,1,1,1,1
1220,34,1,1,1,1
1221,34,1,1,1,1
1222,34,1,1,1,1
1223,34,1,1,1,1
1224,34,1,1,1,1
1225,34,1,1,1,1
1226,34,1,1,1,1
1227,34,1,1,1,1
1228,34,1,1,1,1
1229,34,1,1,1,1
1230,34,1,1,1,1
1231,34,1,1,1,1
1232,34,1,1,1,1
1233,34,1,1,1,1
1234,34,1,1,1,1
1235,34,1,1,1,1
