hid,sample_geo,hinc,hsize,hhrtotals,hhtotals
10400,3808,11,3,1,1
10401,3305,8,1,1,1
10409,3102,13,2,1,1
10425,3101,11,3,1,1
10437,4009,16,2,1,1
10443,4112,11,3,1,1
10475,4017,10,5,1,1
10489,4004,14,1,1,1
10499,3311,16,4,1,1
10518,3704,3,2,1,1
10519,3211,16,3,1,1
10520,3701,15,3,1,1
10521,3803,11,1,1,1
10530,3003,8,3,1,1
10548,3208,16,5,1,1
10551,3803,15,2,1,1
10582,3202,16,4,1,1
10620,2802,12,4,1,1
10638,4009,13,2,1,1
10654,3312,15,4,1,1
10686,3308,4,1,1,1
10688,3804,4,5,1,1
10707,3313,14,1,1,1
10712,2802,3,1,1,1
10726,3707,1,1,1,1
10728,3702,10,1,1,1
10729,3810,13,2,1,1
10764,4108,7,1,1,1
10773,3205,16,3,1,1
10774,4012,12,1,1,1
10777,3708,9,4,1,1
10778,3801,11,2,1,1
10794,3806,13,2,1,1
10837,3807,14,2,1,1
10847,3104,3,1,1,1
10865,4017,8,1,1,1
10872,4008,16,4,1,1
10877,3805,3,1,1,1
10892,3902,1,2,1,1
10916,4106,13,3,1,1
10934,4015,7,4,1,1
10963,3003,12,1,1,1
10978,4004,8,2,1,1
10980,3308,12,2,1,1
10983,4011,10,2,1,1
10993,4008,12,7,1,1
10999,2902,15,4,1,1
11001,3003,6,6,1,1
11008,4110,6,3,1,1
11012,3810,4,1,1,1
11018,3313,4,1,1,1
11026,3208,11,2,1,1
11038,2902,9,2,1,1
11056,4001,5,2,1,1
11057,3209,14,1,1,1
11070,3804,8,3,1,1
11079,4004,15,2,1,1
11104,4003,2,1,1,1
11112,3001,1,1,1,1
11120,4109,11,5,1,1
11129,2801,11,2,1,1
11133,3801,15,2,1,1
11158,3709,14,5,1,1
11160,4111,12,5,1,1
11163,3212,16,5,1,1
11166,4013,2,6,1,1
11185,3805,16,2,1,1
11204,4101,1,3,1,1
11209,3203,11,4,1,1
11216,3206,15,5,1,1
11223,4007,1,4,1,1
