hid,sample_geo,gqtype,gqrtotals,gqtotals
405566,900,2,1,1
405832,102,1,1,1
407549,905,2,1,1
407597,101,1,1,1
407808,104,1,1,1
407827,902,1,1,1
407904,104,1,1,1
408045,104,2,1,1
408061,905,2,1,1
408179,905,2,1,1
409697,101,1,1,1
410482,101,1,1,1
411784,905,2,1,1
412439,104,2,1,1
412602,104,2,1,1
413524,105,1,1,1
413730,101,1,1,1
413871,905,2,1,1
414208,901,1,1,1
414362,105,1,1,1
414829,903,2,1,1
415365,900,1,1,1
415527,905,1,1,1
415714,905,2,1,1
415911,100,2,1,1
418064,102,1,1,1
418431,905,1,1,1
418469,905,1,1,1
419158,903,2,1,1
419327,104,1,1,1
419395,903,2,1,1
420329,903,1,1,1
420390,902,1,1,1
420434,904,1,1,1
421412,101,2,1,1
421413,102,2,1,1
422225,101,2,1,1
422250,105,1,1,1
422589,900,2,1,1
423438,905,2,1,1
423465,105,2,1,1
424135,100,1,1,1
424215,901,2,1,1
424924,102,2,1,1
425442,101,1,1,1
426718,105,1,1,1
428426,901,1,1,1
429868,900,1,1,1
430710,904,1,1,1
432568,902,2,1,1
432977,900,1,1,1
433002,901,1,1,1
433392,101,2,1,1
433404,102,1,1,1
434046,901,1,1,1
434470,105,1,1,1
434800,902,1,1,1
434985,102,1,1,1
435488,100,2,1,1
435759,906,1,1,1
435824,905,2,1,1
436448,100,2,1,1
437671,901,2,1,1
438392,905,2,1,1
438767,104,2,1,1
438989,905,2,1,1
439229,906,1,1,1
439344,900,2,1,1
441512,100,1,1,1
441766,103,1,1,1
441971,901,1,1,1
442357,903,1,1,1
442394,101,1,1,1
442922,905,2,1,1
443414,903,1,1,1
443952,900,1,1,1
444760,904,1,1,1
444958,104,1,1,1
445259,905,2,1,1
445688,102,1,1,1
446691,104,2,1,1
446959,901,1,1,1
447067,105,2,1,1
447253,104,2,1,1
447576,906,2,1,1
448353,902,1,1,1
448493,904,2,1,1
448860,906,1,1,1
449757,104,1,1,1
450161,903,1,1,1
450200,102,1,1,1
450524,905,2,1,1
450868,100,2,1,1
451433,903,2,1,1
451588,903,1,1,1
452875,100,2,1,1
453632,905,2,1,1
455758,105,1,1,1
456011,101,2,1,1
456028,101,1,1,1
456285,101,2,1,1
457090,100,2,1,1
457368,905,2,1,1
457578,100,2,1,1
458117,101,2,1,1
458956,100,1,1,1
459549,904,2,1,1
460472,903,2,1,1
460600,903,2,1,1
460867,104,2,1,1
461560,100,1,1,1
462174,104,1,1,1
462982,902,1,1,1
463114,101,2,1,1
463703,905,2,1,1
464668,104,2,1,1
464860,102,2,1,1
466315,904,1,1,1
466349,102,2,1,1
466407,905,2,1,1
466558,900,1,1,1
466658,100,2,1,1
466992,903,2,1,1
467078,104,2,1,1
467095,906,1,1,1
467605,905,2,1,1
467770,105,2,1,1
468704,901,1,1,1
469103,906,1,1,1
469903,901,1,1,1
470148,104,1,1,1
470203,905,2,1,1
470755,902,1,1,1
470884,905,2,1,1
471331,101,2,1,1
472421,901,2,1,1
472632,904,1,1,1
473561,101,2,1,1
474372,101,2,1,1
475082,905,2,1,1
475560,104,1,1,1
476132,100,1,1,1
477236,900,1,1,1
477679,100,1,1,1
478729,905,2,1,1
478768,902,2,1,1
478978,104,2,1,1
479315,905,1,1,1
481226,104,2,1,1
481798,902,1,1,1
481920,905,2,1,1
482400,903,2,1,1
483688,104,1,1,1
484101,105,1,1,1
484908,905,2,1,1
485105,904,2,1,1
485971,905,2,1,1
486207,105,1,1,1
486233,903,2,1,1
486860,101,2,1,1
487352,904,2,1,1
487982,104,2,1,1
488502,900,2,1,1
488743,100,2,1,1
490369,905,2,1,1
491135,904,2,1,1
491189,101,1,1,1
491204,100,1,1,1
491269,903,2,1,1
491317,100,2,1,1
491694,903,2,1,1
491871,900,1,1,1
493284,105,1,1,1
494023,904,2,1,1
494187,903,1,1,1
494261,903,2,1,1
494574,904,2,1,1
495414,901,1,1,1
496375,905,2,1,1
496482,905,2,1,1
496640,901,1,1,1
497113,100,1,1,1
499331,102,1,1,1
499559,101,2,1,1
499910,900,1,1,1
499989,904,2,1,1
501307,101,2,1,1
501322,905,1,1,1
501350,101,2,1,1
