variable_names,gqtotals,gqtype,gqtype
variable_categories,1,1,2
geo,,,
5150,34.8119096,34.8119096,0
5151,11.26267663,11.26267663,0
5152,150.510315,144.3670369,6.143278164
5153,0,0,0
5154,5.11939847,0,5.11939847
5155,14.33431572,0,14.33431572
5156,89.07753338,0,89.07753338
5157,0,0,0
5158,7.167157858,0,7.167157858
5159,30.71639082,0,30.71639082
5160,0,0,0
5161,71.67157858,66.55218011,5.11939847
5162,0,0,0
5163,0,0,0
5164,0,0,0
5165,0,0,0
5166,6.143278164,0,6.143278164
5167,0,0,0
5168,0,0,0
5169,63.48054103,0,63.48054103
5170,0,0,0
5171,39.93130807,0,39.93130807
5172,0,0,0
5173,0,0,0
5174,8.191037552,0,8.191037552
5175,22.52535327,0,22.52535327
5176,194.5371419,124.9133227,69.62381919
5177,4.095518776,0,4.095518776
5178,20.47759388,0,20.47759388
5179,0,0,0
5180,265.1848407,258.0176829,7.167157858
5181,0,0,0
5182,2.047759388,2.047759388,0
5183,1370.97491,1370.97491,0
5184,0,0,0
5185,41.97906745,0,41.97906745
5186,1.023879694,0,1.023879694
5187,5.11939847,0,5.11939847
5188,20.47759388,0,20.47759388
5189,9.214917246,0,9.214917246
5190,5.11939847,0,5.11939847
5191,0,0,0
5192,0,0,0
5193,74.74321766,74.74321766,0
5194,6.143278164,0,6.143278164
5195,3.071639082,0,3.071639082
5196,297.948991,291.8057128,6.143278164
5197,145.3909165,135.1521196,10.23879694
5198,10.23879694,0,10.23879694
5199,14.33431572,0,14.33431572
5200,1493.840474,651.1874854,842.6529882
5201,0,0,0
5202,5.11939847,0,5.11939847
5203,0,0,0
5204,14.33431572,0,14.33431572
5205,51.1939847,46.07458623,5.11939847
5206,0,0,0
5207,3.071639082,0,3.071639082
5208,20.47759388,0,20.47759388
5209,6.143278164,0,6.143278164
5210,451.5309451,437.1966293,14.33431572
5211,902.0380104,0,902.0380104
5212,117.7461648,25.59699235,92.14917246
5213,61.43278164,0,61.43278164
5214,16.3820751,0,16.3820751
5215,151.5341947,143.3431572,8.191037552
5216,19.12648005,0,19.12648005
5217,0,0,0
5218,16.10650952,11.07322529,5.033284225
5219,0,0,0
5220,0,0,0
5221,117.7788509,117.7788509,0
5222,67.44600861,0,67.44600861
5223,111.7389098,111.7389098,0
5224,2134.112511,2116.999345,17.11316636
5225,17.11316636,0,17.11316636
5226,30.19970535,7.046597915,23.15310743
5227,14.09319583,5.033284225,9.059911605
5228,120.7988214,116.772194,4.02662738
5229,95.63240027,88.58580236,7.046597915
5230,42.27958749,0,42.27958749
5231,9.059911605,9.059911605,0
5232,122.8121351,114.7588803,8.05325476
5233,0,0,0
5234,113.7522235,53.35281278,60.3994107
5235,0,0,0
5236,139.9253014,118.7855077,21.13979374
5237,145.9652425,145.9652425,0
5238,462.0554918,0,462.0554918
5239,20.1331369,20.1331369,0
5240,5.033284225,0,5.033284225
5241,290.9238282,260.7241228,30.19970535
5242,90.59911605,77.51257706,13.08653898
5243,31.20636219,29.1930485,2.01331369
5244,26.17307797,4.02662738,22.14645059
5245,40.2662738,4.02662738,36.23964642
5246,5.033284225,0,5.033284225
5247,35.23298957,0,35.23298957
5248,77.51257706,74.49260653,3.019970535
5249,10.06656845,5.033284225,5.033284225
5250,261.7307797,261.7307797,0
5251,20.1331369,0,20.1331369
5252,36.23964642,0,36.23964642
5253,182.2048889,177.1716047,5.033284225
5254,0,0,0
5255,0,0,0
5256,74.49260653,0,74.49260653
5257,106.7056256,77.51257706,29.1930485
5258,38.25296011,36.23964642,2.01331369
5259,183.2115458,136.9053309,46.30621487
5260,9.059911605,0,9.059911605
5261,0,0,0
5262,27.17973481,0,27.17973481
5263,13.08653898,0,13.08653898
5264,4.02662738,0,4.02662738
5265,178.1782616,118.7855077,59.39275385
5266,82.54586129,73.48594968,9.059911605
5267,145.9652425,0,145.9652425
5268,137.9119878,118.7855077,19.12648005
5269,62.41272439,56.37278332,6.03994107
5270,58.38609701,58.38609701,0
5271,262.7374365,239.5843291,23.15310743
5272,0,0,0
5273,0,0,0
5274,4.02662738,0,4.02662738
5275,0,0,0
5276,134.8920172,113.7522235,21.13979374
5277,33.21967588,33.21967588,0
5278,468.0954329,329.1767883,138.9186446
5279,466.0821192,0,466.0821192
5280,12.07988214,0,12.07988214
5281,15.09985267,0,15.09985267
5282,101.6723413,92.61242974,9.059911605
5283,17.11316636,0,17.11316636
5284,5.033284225,0,5.033284225
5285,0,0,0
5286,303.0037103,276.8306324,26.17307797
5287,6.03994107,0,6.03994107
5288,160.0584383,119.7921646,40.2662738
5289,0,0,0
5290,107.7122824,107.7122824,0
5291,10.06656845,0,10.06656845
5292,57.37944016,45.29955802,12.07988214
5293,79.52589075,63.41938123,16.10650952
5294,23.15310743,11.07322529,12.07988214
5295,0,0,0
5296,0,0,0
5297,0,0,0
5298,6.03994107,0,6.03994107
5299,63.41938123,0,63.41938123
5300,178.1782616,138.9186446,39.25961695
